,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18
/artists/154504-wiseguys,The Wiseguys,The Wiseguys,7oBJEgh7PQKJuxXb1lUEKA,1.0,42.0,17513.0,158200.0,big beat,ninja,trip hop,turntablism,,,,,,,,,,,,,,
/artists/470480-wombats,The Wombats,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,1.0,71.0,935033.0,5100000.0,liverpool indie,modern rock,rock,,,,,,,,,,,,,,,
/artists/589293-wonder-years,The Wonder Years,The Wonder Years,0nq64XZMWV1s7XHXIkdH7K,1.0,55.0,227954.0,406800.0,alternative emo,anthem emo,emo,philly indie,pop punk,,,,,,,,,,,,,
/artists/2377841-wooden-birds,The Wooden Birds,The Wooden Birds,5rsPXVRen0RDTeHHyrmmLF,1.0,16.0,4555.0,4700.0,austindie,,,,,,,,,,,,,,,,,
/artists/608780-wooden-sky,The Wooden Sky,The Wooden Sky,7qOYBxlPvLSydCahOqDej4,1.0,23.0,11091.0,7000.0,canadian americana,canadian indie,toronto indie,,,,,,,,,,,,,,,
/artists/6650639-wooden-wolf,The Wooden Wolf,The Wooden Wolf,30dR3P3am9GUlWwNnpkZ5w,1.0,7.0,986.0,387.0,,,,,,,,,,,,,,,,,,
/artists/10156190-woodgies,The Woodgies,The Woodgies,64DSS793ZBMjWyEvhsXjzc,1.0,19.0,226.0,5800.0,,,,,,,,,,,,,,,,,,
/artists/2341487-word-alive,The Word Alive,The Word Alive,1CF8aEN939swnuIZGFI7Hk,1.0,64.0,276299.0,922200.0,melodic metalcore,metalcore,post-screamo,screamo,trancecore,,,,,,,,,,,,,
/artists/335097-world,The World,The World,62ltJFdLVl9JUrdhzWqp0F,1.0,37.0,132.0,47500.0,,,,,,,,,,,,,,,,,,
/artists/4138021-world-is,The World Is,The World is Ours,0f8K12qoqR2uP436JGABPN,0.83,0.0,5.0,47500.0,,,,,,,,,,,,,,,,,,
