,venue_id,linked_venue_id,venue,locality,latitude,longitude
217,/venues/2899553,/venues/2899553,Am Damm FürDich,Zürich,47.3905,8.527619999999999
218,/venues/2586008,/venues/2586008,Am Quai,Solothurn,47.20866,7.53795
219,/venues/1659883,/venues/1659883,Am Schluss,Bern,,
220,/venues/2990583,/venues/2990583,Am Stadtgraben,Bern,46.93009,7.122039999999998
221,/venues/2902498,/venues/2902498,Ama Aargauer Messe Aarau,Aarau,47.38796,8.044139999999999
222,/venues/419106,/venues/419106,Amalgame Club,Yverdon-Les-Bains,46.7822,6.649210000000001
223,/venues/4340941,/venues/4340941,Ambiente-Allschwil,Basel,,
224,/venues/2184499,/venues/2184499,Amboss Rampe,Zürich,47.38127,8.5314
225,/venues/2180369,/venues/2180369,American Pub,Sion,46.22846,7.38209
226,/venues/418181,/venues/418181,Amme Rock,Kirchberg,,
227,/venues/2096009,/venues/2096009,Ammonit & Stil Vor Talent,Bern,,
228,/venues/825396,/venues/825396,Amnesia Club,Lausanne,46.51183,6.60935
229,/venues/1969909,/venues/1969909,Ampere,Affoltern am Albis,47.27951,8.45401
230,/venues/1563103,/venues/1563103,Ampere Club,Zürich,,
231,/venues/4227849,/venues/1505778,Amphitheater Hüntwangen,Wil,47.5938,8.502410000000001
232,/venues/1505778,/venues/1505778,Amphitheater Hüntwangen,Zürich,47.5895,8.500689999999999
233,/venues/4366906,/venues/4366906,Amphitheater Vindonissa,Zürich,47.4769,8.21389
234,/venues/4032539,/venues/4032539,Amriville,Amriswil,47.54763,9.29755
235,/venues/4368473,/venues/4368473,Ancien Aérodrome,Porrentruy,47.42255,7.07388
236,/venues/3923284,/venues/3923284,Ancienne Poste,La Chaux De Fonds,47.05915,6.75117
237,/venues/3265774,/venues/3265774,Ancienne Poste des Planches,Montreux,46.43309,6.916739999999999
238,/venues/3461269,/venues/3461269,Anciens Abattoirs,Sierre,46.29065,7.5319699999999985
239,/venues/3686539,/venues/3686539,Ancient Astronaut,Lausanne,46.51965,6.63227
240,/venues/3291914,/venues/3291914,Andelfingen an der Thur,Winterthur,47.49882,8.72369
241,/venues/4412054,/venues/4412054,Andermatt Reuss,Luzern,46.62674000000001,8.61759
242,/venues/3509144,/venues/3509144,AndermattLive!,Luzern,46.63391,8.59356
243,/venues/4022439,/venues/4022439,Andreas Kirche,Gossau,47.41505,9.24902
244,/venues/1993744,/venues/1993744,Angel's Bar,Zürich,47.38214,8.5296
245,/venues/2565869,/venues/2565869,Angela's Schopfbar,Bern,46.95314000000001,7.435969999999998
246,/venues/2155429,/venues/2155429,Angels,Lugano,,
247,/venues/4177344,/venues/4177344,Anhaltspunkt,Winterthur,47.50453,8.76445
248,/venues/245593,/venues/245593,Animai,Montreux,46.46273,6.84243
249,/venues/100720,/venues/100720,Anker,Bern,46.68614,7.85261
250,/venues/419966,/venues/419966,Anlässlich Dem Openair Kino,Zürich,,
251,/venues/4393720,/venues/4393720,Annex,Basel,47.54966,7.5842100000000015
252,/venues/4416710,/venues/4416710,Anstadt,Bern,46.93835,7.4424
253,/venues/2905283,/venues/2905283,Antidote Festival,Yverdon-Les-Bains,46.77822000000001,6.641489999999999
254,/venues/1621258,/venues/1621258,Antigel Festival,Geneva,46.20439,6.14316
