,venue,locality,postal_code,street,country,latitude,longitude,venue_website
/venues/3518809,Restaurant Engelberg,Luzern,,Dorfstrasse 14,Switzerland,46.821459999999995,8.406080000000001,
/venues/3744359,Sammy's Bar Schönried,Martigny,3778 Schönried,Dorfstrasse 14,Switzerland,46.50175,7.284489999999999,
/venues/3256009,Bäckerstübli Scherzingen,Kreuzlingen,8596,Dorfstrasse 2,Switzerland,47.63042,9.226280000000001,http://www.baeckerstuebli.ch
/venues/4302494,Hirschen,Fribourg,1716,Dorfstrasse 2,Switzerland,46.74177,7.2853,https://www.hirschen.pub/
/venues/4064039,Bsinti,Zürich,8784 Glarus Süd,Dorfstrasse 9,Switzerland,46.93955,8.99888,https://www.bsinti.ch/
/venues/4092604,Kipferhaus Hinterkappelen,Bern,3032,Dorfstrasse 9,Switzerland,46.96835,7.379630000000001,
/venues/4079209,Barakuba,Basel,4053,Dornacherstrasse 192,Switzerland,47.54172,7.59324,https://www.barakuba.ch
/venues/1205906,Querfeld Halle,Basel,4053,Dornacherstrasse 192,Switzerland,47.54096,7.59311,
/venues/4350470,Viscose,Luzern,6020,Emmenweidstrasse 20,Switzerland,47.07363,8.27466,
/venues/3872059,Viscose club,Luzern,6020,Emmenweidstrasse 20,Switzerland,47.073609999999995,8.274610000000001,https://www.facebook.com/pg/viscoseclub/
/venues/4406171,Marians Im Jazzzelt,Bern,3012,Engestrasse 54,Switzerland,46.96105,7.43938,
/venues/2834658,Venue Tba – bern (hotel Innere Enge Or Marians Jazzroom),Bern,3012,Engestrasse 54,Switzerland,46.96103,7.4394100000000005,
/venues/3202093,Neo,Zürich,8004,Europaallee 47,Switzerland,47.378890000000006,8.53244,
/venues/3577814,Neo Bar,Zürich,8004,Europaallee 47,Switzerland,47.37894,8.53202,http://www.neozurich.com/
/venues/2144114,Altes Schlachthaus,Langenthal,3360,Fabrikstrasse 4,Switzerland,47.18795,7.70419,http://www.altesschlachthaus.ch/
/venues/717346,Club Eleven,Solothurn,4500,Fabrikstrasse 4,Switzerland,47.21184,7.525760000000001,
/venues/1443043,Festivalgelände Am Rotten,Gampel,3945,Festivalgelände,Switzerland,46.31577,7.74194,
/venues/3851044,Lakelive,Biel,2500,Festivalgelände,Switzerland,,,http://www.lakelive.ch
