,artist_name,spotify_name,spotify_id,spotify_popularity,spotify_followers,spotify_listeners
/artists/4995918-shirt-tail-stompers,Shirt Tail Stompers,The Shirt Tail Stompers,15jarNy5AQMgYi1DDqpftt,4.0,433.0,644.0
/artists/503870-shit-robot,Shit Robot,Shit Robot,2ZvXaOrinJFZDexa3fWqMZ,27.0,20580.0,30000.0
/artists/320908-shit-and-shine,Shit and Shine,Shit And Shine,3dDUEkWS8vRntkXwGSI2dr,12.0,5559.0,2200.0
/artists/8895099-shitkid,ShitKid,ShitKid,6TnRsbEEAkxaOYJLcEWd5m,34.0,17652.0,46800.0
/artists/311636-shitdisco,Shitdisco,Shitdisco,1gnKXnSL1BgGCTIrV3d4iq,16.0,8014.0,6900.0
/artists/440095-shitmat,Shitmat,Shitmat,6mPzVfnTE4JQJAuAdz2csx,18.0,7852.0,5100.0
/artists/4250316-shivr,Shiv-r,Shiv-R,51K9RxNw2NFKjwvEXtmwNF,26.0,6665.0,15800.0
/artists/140328-shivas,Shivas,Shivas,507P6AbC4UDtsL0F1h9TeB,0.0,2.0,15800.0
/artists/6469959-shivas-nat,Shivas Nat,,,,,
/artists/175027-shiver,Shiver,Shiver,7MROzi0mO8LUN78dwABLTF,11.0,178.0,34.0
/artists/3081201-shivering-jemmy,Shivering Jemmy,,,,,
/artists/9495104-shkoon,Shkoon,Shkoon,3CdsJ9u53uPu3dScKypLVv,43.0,37009.0,173600.0
/artists/3052856-shlohmo,Shlohmo,Shlohmo,6y80I9YZi4DOpbaSUlL725,50.0,228312.0,304700.0
/artists/1987782-shlomi-aber,Shlomi Aber,Shlomi Aber,3A8XSMPreJlCBlpSZVHU5J,25.0,7936.0,21200.0
/artists/5990139-shlomo-mintz-violin,Shlomo Mintz - violin,,,,,
/artists/9369524-shocco-rocco,Shocco Rocco,,,,,
/artists/2342802-shocka-zooloo,Shocka Zooloo,,,,,
/artists/3932646-shocka-zooloo-band,Shocka Zooloo Band,,,,,
/artists/311781-shocking-pinks,Shocking Pinks,Shocking Pinks,1Z1HMpxbv4ykNXe7RH8xuR,11.0,1995.0,2500.0
/artists/539128-shockwave,Shockwave,Shockwave,5F5mv4CeDI2styBTkko6zo,28.0,719.0,41.0
/artists/4290181-shoestring-trio,Shoestring Trio,,,,,
/artists/9543069-shokran,Shokran,Shokran,1DHGS6S7X2lF4cgEa9ErqC,38.0,51299.0,56300.0
/artists/87115-sholi,Sholi,Sholi,6EhVQugNlsNrN5SvUrtW5R,6.0,568.0,1100.0
/artists/443101-shonen-knife,Shonen Knife,Shonen Knife,4ukJlDdlvuQOHZdD2NVsFD,31.0,30225.0,38900.0
/artists/89457-shook-ones,Shook Ones,Shook Ones,5KsAULEdgoQPjZhUUM4Xr4,18.0,6146.0,2900.0
/artists/5474813-shoot-the-girl-first,Shoot the Girl First,Shoot the Girl First,0FMUYBJne2YJmgKEy9gQMm,22.0,16341.0,7700.0
/artists/29647-shooter-jennings,Shooter Jennings,Shooter Jennings,0F6yRPhUj9fUzWn0z3ysyr,48.0,156445.0,337900.0
/artists/585122-shopping,Shopping,Shopping,1UgRlUUZBwiGwqMFHA4Puf,29.0,18912.0,29700.0
/artists/632415-shoreline,Shoreline,Shoreline,7xEYYE03vzoSMyC2AVRnD0,25.0,2302.0,15700.0
/artists/7713904-shores-of-null,Shores of Null,Shores Of Null,76lKNyW77arKg42qdDO9Sm,17.0,3093.0,6500.0
/artists/392548-shortino,Shortino,Shortino,4I3pu4QSHnlAXV8cHhC6FT,0.0,3.0,6500.0
/artists/8219133-shortparis,Shortparis,Shortparis,61j4FFbKlzdYihMtpM1hZD,44.0,100226.0,103100.0
/artists/209055-shotgun,Shotgun,Shotgun,1Upi5TfZpYJWMMhcK8wwIU,19.0,1260.0,5400.0
