,style_name,genre_url,genre_name
/style/plena,Plena,/genre/latin,Latin
/style/poetry,Poetry,/genre/non-music,Non-Music
/style/3376-polish-polka,Polish Polka,,
/style/political,Political,/genre/non-music,Non-Music
/style/polka,Polka,/genre/folk-world-country,"Folk, World, & Country"
/style/pop-punk,Pop Punk,/genre/rock,Rock
/style/6442-pop-punk,Pop Punk,,
/style/pop-rap,Pop Rap,/genre/hip-hop,Hip Hop
/style/pop-rock,Pop Rock,/genre/rock,Rock
/style/2001-porro,Porro,,
/style/porro,Porro,,
/style/post-bop,Post Bop,/genre/jazz,Jazz
/style/post-rock,Post Rock,/genre/rock,Rock
/style/post-hardcore,Post-Hardcore,,
/style/2049-post-metal,Post-Metal,,
/style/post-modern,Post-Modern,/genre/classical,Classical
/style/post-punk,Post-Punk,/genre/rock,Rock
/style/6608-post-punk,Post-Punk,,
/style/power-electronics,Power Electronics,/genre/electronic,Electronic
/style/power-metal,Power Metal,/genre/rock,Rock
/style/power-pop,Power Pop,/genre/rock,Rock
/style/prog-rock,Prog Rock,/genre/rock,Rock
/style/progressive-breaks,Progressive Breaks,,
/style/progressive-house,Progressive House,/genre/electronic,Electronic
/style/1999-progressive-metal,Progressive Metal,,
/style/progressive-trance,Progressive Trance,/genre/electronic,Electronic
/style/promotional,Promotional,/genre/non-music,Non-Music
/style/psy-trance,Psy-Trance,/genre/electronic,Electronic
/style/psychedelic,Psychedelic,/genre/funk-soul,Funk / Soul
/style/psychedelic-rock,Psychedelic Rock,/genre/rock,Rock
/style/psychobilly,Psychobilly,/genre/rock,Rock
/style/pub-rock,Pub Rock,/genre/rock,Rock
/style/public-broadcast,Public Broadcast,,
/style/public-service-announcement,Public Service Announcement,/genre/non-music,Non-Music
/style/6132-pumping-house,Pumping House,,
/style/punk,Punk,/genre/rock,Rock
/style/quechua,Quechua,/genre/folk-world-country,"Folk, World, & Country"
/style/5772-r,R,,
/style/radioplay,Radioplay,/genre/non-music,Non-Music
/style/ragga,Ragga,/genre/reggae,Reggae
/style/ragga-hiphop,Ragga HipHop,/genre/hip-hop,Hip Hop
/style/ragtime,Ragtime,/genre/jazz,Jazz
/style/ranchera,Ranchera,/genre/latin,Latin
/style/rapso,Rapso,/genre/reggae,Reggae
/style/rai,Raï,/genre/folk-world-country,"Folk, World, & Country"
/style/ra-u00ef,Raï,,
/style/rebetiko,Rebetiko,/genre/folk-world-country,"Folk, World, & Country"
/style/reggae,Reggae,/genre/reggae,Reggae
/style/reggae-gospel,Reggae Gospel,/genre/reggae,Reggae
/style/reggae-pop,Reggae-Pop,/genre/reggae,Reggae
/style/reggaeton,Reggaeton,/genre/latin,Latin
/style/religious,Religious,/genre/non-music,Non-Music
/style/renaissance,Renaissance,/genre/classical,Classical
/style/rhythm-blues,Rhythm & Blues,/genre/funk-soul,Funk / Soul
/style/rhythmic-noise,Rhythmic Noise,,
/style/rnb-swing,RnB/Swing,/genre/hip-hop,Hip Hop
/style/rock-roll,Rock & Roll,/genre/rock,Rock
/style/rock-opera,Rock Opera,,
/style/rockabilly,Rockabilly,/genre/rock,Rock
/style/rocksteady,Rocksteady,/genre/reggae,Reggae
/style/romani,Romani,/genre/folk-world-country,"Folk, World, & Country"
/style/romantic,Romantic,/genre/classical,Classical
