,venue_id,concert_id,artist_id,date,latitude,longitude
6166,/venues/37717,/concerts/24439979,/artists/424676-yaron-herman,2015-10-27,47.38865,8.5187
6167,/venues/37717,/concerts/24261219,/artists/424676-yaron-herman,2015-10-27,47.38865,8.5187
5545,/venues/37717,/concerts/29187334,/artists/4249456-haley-reinhart,2017-05-27,47.38865,8.5187
5546,/venues/37717,/concerts/28726749,/artists/4249456-haley-reinhart,2017-05-27,47.38865,8.5187
2549,/venues/35054,/concerts/27526579,/artists/425424-vision-bleak,2016-10-21,46.52241,6.61925
2552,/venues/35054,/concerts/27520759,/artists/425424-vision-bleak,2016-10-21,46.52241,6.61925
6010,/venues/37717,/concerts/25151629,/artists/429459-brad-mehldau,2016-01-27,47.38865,8.5187
6015,/venues/37717,/concerts/25032284,/artists/429459-brad-mehldau,2016-01-27,47.38865,8.5187
82755,/venues/474766,/concerts/25628834,/artists/429459-brad-mehldau,2016-03-09,47.16458,8.5139
82756,/venues/474766,/concerts/24137424,/artists/429459-brad-mehldau,2016-03-09,47.16458,8.5139
63291,/venues/80955,/concerts/25628709,/artists/429459-brad-mehldau,2016-05-22,47.55421,7.58949
63293,/venues/80955,/concerts/23650128,/artists/429459-brad-mehldau,2016-05-22,47.55421,7.58949
27338,/venues/388116,/festivals/668874,/artists/429888-rompeprop,2013-09-14,47.08065,7.29443
27341,/venues/388116,/concerts/15511534,/artists/429888-rompeprop,2013-09-14,47.08065,7.29443
75093,/venues/2907453,/concerts/24238114,/artists/4324086-anna-rossinelli,2015-09-04,47.31745,7.89842
75101,/venues/2907453,/concerts/23170408,/artists/4324086-anna-rossinelli,2015-09-04,47.31745,7.89842
77200,/venues/2832933,/concerts/24999214,/artists/4324086-anna-rossinelli,2016-07-14,47.53091,7.6146600000000015
77205,/venues/2832933,/concerts/24999209,/artists/4324086-anna-rossinelli,2016-07-14,47.53091,7.6146600000000015
88339,/venues/2801878,/festivals/1016593,/artists/4340176-pabst,2019-06-28,47.58725,7.65113
88349,/venues/2801878,/festivals/1284158,/artists/4340176-pabst,2019-06-28,47.58725,7.65113
93066,/venues/2437864,/festivals/862339,/artists/4347451-jon-donson,2013-10-05,47.05594,7.6267
93069,/venues/2437864,/concerts/17997534,/artists/4347451-jon-donson,2013-10-05,47.05594,7.6267
261,/venues/29550,/concerts/25400564,/artists/435296-peter-maffay,2016-12-17,47.41161,8.55166
262,/venues/29550,/concerts/25372049,/artists/435296-peter-maffay,2016-12-17,47.41161,8.55166
87476,/venues/3140844,/concerts/26325949,/artists/4358483-motrip,2016-02-26,47.36499,8.53065
87478,/venues/3140844,/concerts/26136278,/artists/4358483-motrip,2016-02-26,47.36499,8.53065
87746,/venues/3820419,/concerts/33049029,/artists/437150-possessed-by-paul-james,2018-06-02,46.55413,6.579910000000001
87748,/venues/3820419,/concerts/33049024,/artists/437150-possessed-by-paul-james,2018-06-02,46.55413,6.579910000000001
5889,/venues/37717,/concerts/26245729,/artists/437566-manu-dibango,2016-04-03,47.38865,8.5187
5891,/venues/37717,/concerts/25659569,/artists/437566-manu-dibango,2016-04-03,47.38865,8.5187
