spotify_genre,occurrences
classical soprano,27
classical tenor,11
classical trombone,1
classical trumpet,7
classify,2
cleveland indie,1
cleveland metal,4
coldwave,1
collage pop,4
cologne electronic,14
cologne hip hop,5
cologne indie,23
colombian black metal,2
colombian hip hop,1
colombian indie,2
colombian pop,5
colombian rock,5
columbus ohio indie,2
combos nacionales,1
comedie musicale,3
comedy,3
comedy rap,1
comedy rock,1
comic,21
comic metal,22
commons,5
complextro,21
compositional ambient,61
comptine africaine,1
concertina,2
connecticut hardcore,3
conscious hip hop,54
contemporary classical,7
contemporary classical piano,1
contemporary country,23
contemporary folk,1
contemporary jazz,133
contemporary post-bop,31
contemporary vocal jazz,46
cook islands pop,1
cool jazz,31
cork indie,1
cornish folk,1
cornwall indie,3
corrido,1
corrosion,13
corsican folk,2
cosmic american,1
cosmic black metal,8
cosmic death metal,8
cosmic post-rock,5
country,31
country blues,10
country dawn,8
country pop,18
country quebecois,6
country rap,3
country road,20
country rock,86
coupe-decale,1
coverchill,3
covertrance,2
cowboy western,2
cowpunk,9
crack rock steady,1
croatian electronic,2
croatian hip hop,1
croatian indie,4
croatian metal,2
croatian pop,6
croatian rock,3
crossover prog,2
crossover thrash,25
crunk,2
crust punk,19
cryptic black metal,1
cuarteto,1
cuatro venezolano,1
cuban alternative,6
cuban rumba,2
cubaton,4
cumbia,1
cumbia chilena,1
cumbia colombiana regia,1
cumbia peruana,1
cumbia pop,3
cumbia sonorense,1
cumbia villera,3
cyber metal,11
cybergrind,4
cyberpunk,16
cypriot metal,1
czech classical piano,1
czech electronic,2
czech folk,1
czech hip hop,1
czech indie,3
czech metal,5
czech pop,5
czech pop rock,1
czech punk,3
czech rock,5
czech singer-songwriter,1
czsk black metal,3
czsk hip hop,6
czsk reggae,1
d-beat,6
dabke,1
dainuojamoji poezija,1
dakke dak,1
dalarna indie,1
dance pop,242
dance rock,35
dance-punk,47
dancefloor dnb,18
dancehall,61
danish alternative rock,27
danish black metal,5
danish death metal,8
danish electro,2
danish electronic,10
danish electropop,15
danish experimental,3
danish folk,1
danish hardcore,2
danish hip hop,2
danish indie,8
danish indie pop,12
danish jazz,6
danish metal,24
danish modern jazz,5
danish pop,15
danish pop rock,4
danish post-punk,4
danish punk,2
danish rock,15
danish singer-songwriter,2
danish techno,6
dansband,2
dansktop,1
danspunk,2
darbuka,1
dark ambient,6
dark black metal,37
dark cabaret,19
dark clubbing,15
dark disco,11
dark electro,35
dark folk,2
dark hardcore,7
dark jazz,53
dark minimal techno,4
dark post-punk,40
dark psytrance,4
dark rock,23
dark techno,34
dark trap,17
dark wave,57
darkstep,24
darksynth,6
dayton indie,3
dc hardcore,4
dc indie,1
death 'n' roll,5
death doom,7
death industrial,6
death metal,128
deathcore,86
deathgrass,11
deathgrind,33
deathrash,18
deathrock,13
deathstep,8
deconstructed club,36
deep acoustic pop,6
deep big room,2
deep breakcore,2
deep ccm,1
deep chill-out,1
deep christian rock,1
deep classic garage rock,1
deep comedy,2
deep dance pop,3
deep darkpsy,1
deep deep house,4
deep disco house,39
deep discofox,1
deep dnb,10
deep dubstep,17
deep east coast hip hop,2
deep euro house,48
deep flow,1
deep folk metal,16
deep free jazz,1
deep funk,4
deep german hip hop,58
deep german indie,8
deep german punk,17
deep gothic post-punk,13
deep groove house,24
deep hardcore,3
deep house,71
deep idm,16
deep indie pop,3
deep indie rock,1
deep indie singer-songwriter,4
deep italo disco,1
deep jazz fusion,2
deep latin alternative,2
deep latin christian,1
deep liquid,2
