spotify_genre,occurrences
diy pop punk,8
djent,59
dmv rap,5
dominican indie,1
dominican pop,7
doom metal,72
doomcore,1
doomgaze,10
dortmund indie,6
double drumming,21
doujin,1
downtempo,49
downtempo bass,2
downtempo deathcore,2
dream pop,94
dream smp,5
dream trance,6
dreamgaze,6
dreamo,56
dresden indie,11
drift,7
drill,5
drill and bass,34
drill francais,5
drone,58
drone ambient,2
drone folk,14
drone metal,54
drone rock,4
dronescape,2
drum and bass,77
drumfunk,16
dub,36
dub metal,17
dub punk,4
dub reggae,6
dub techno,31
dublin indie,2
dubstep,30
duduk,1
duluth indie,2
dundee indie,1
dunedin indie,6
dungeon synth,3
dusseldorf electronic,10
dusseldorf indie,7
dutch americana,4
dutch black metal,4
dutch blues,8
dutch cabaret,1
dutch classical piano,1
dutch death metal,12
dutch dnb,11
dutch edm,20
dutch experimental,1
dutch experimental electronic,6
dutch hip hop,5
dutch house,15
dutch idol pop,1
dutch indie,38
dutch indie rock,18
dutch jazz,3
dutch metal,21
dutch pop,26
dutch prog,2
dutch punk,8
dutch punk rock,3
dutch r&b,4
dutch rap pop,3
dutch rock,39
dutch singer-songwriter,4
dutch stoner rock,3
dutch tech house,2
dutch trance,5
dutch underground hip hop,1
early french punk,2
early music,7
early music choir,2
early music ensemble,7
early reggae,2
early romantic era,1
early synthpop,1
early us punk,5
east anglia indie,5
east coast hip hop,72
east coast reggae,7
easy listening,10
easycore,11
eau claire indie,4
ebm,70
ecm-style jazz,62
ectofolk,13
ecuadorian indie,1
ecuadorian pop,1
edinburgh indie,2
edinburgh metal,1
edm,175
edmonton indie,8
egyptian alternative,4
egyptian hip hop,1
egyptian pop,2
el paso indie,4
electra,59
electric bass,15
electric blues,97
electro,26
electro dub,10
electro house,187
electro jazz,8
electro latino,1
electro swing,30
electro trash,20
electro-industrial,64
electro-pop francais,18
electroacoustic composition,2
electroacoustic improvisation,9
electroclash,40
electrofox,31
electronic djent,2
electronic rock,19
electronic trap,41
electronica,222
electronica argentina,2
electronica chilena,6
electronica peruana,2
electronica venezuela,3
electronicore,2
electropop,155
electropowerpop,12
elektropunk,21
elephant 6,2
emo,77
emo mexicano,1
emo punk,12
emo rap,10
emocore,2
emoviolence,1
english indie rock,37
entehno,9
environmental,1
epic black metal,2
epic doom,6
epicore,3
eritrean pop,1
escape room,73
essex indie,4
estonian electronic,2
estonian folk,2
estonian indie,5
estonian jazz,2
estonian metal,5
estonian pop,4
estonian rock,2
ethereal wave,18
etherpop,26
ethio-jazz,6
ethiopian pop,2
ethiopian traditional,1
ethnotronica,29
eugene indie,2
euphoric hardstyle,28
euro hi-nrg,1
eurodance,32
europop,82
euroska,26
eurovision,27
euskal indie,1
euskal metal,1
euskal rock,3
experimental,71
experimental ambient,15
experimental big band,3
experimental black metal,3
experimental classical,3
experimental club,2
experimental dub,5
experimental dubstep,2
experimental electronic,8
experimental folk,7
experimental guitar,15
experimental hip hop,16
experimental house,1
experimental indie,4
experimental indie rock,12
experimental jazz,10
experimental percussion,4
experimental pop,66
experimental psych,17
experimental r&b,6
experimental rock,37
experimental synth,7
experimental techno,11
experimental vocal,9
fado,13
fake,5
fallen angel,9
faroese indie,1
faroese pop,2
faroese rock,3
fast melodic punk,15
fidget house,23
field recording,2
fijian pop,1
filmi,2
filter house,67
filthstep,26
final fantasy,2
fingerstyle,10
finlandssvenska musik,1
finnish alternative rock,5
finnish black metal,3
finnish blues,2
finnish contemporary classical,2
finnish dance pop,4
finnish death metal,21
finnish doom metal,7
finnish edm,2
finnish electro,3
finnish electronic,2
finnish experimental,5
finnish folk,6
finnish hard rock,13
finnish hardcore,3
finnish heavy metal,10
finnish hip hop,2
finnish idol pop,1
finnish indie,9
finnish jazz,6
finnish melodeath,18
finnish metal,37
finnish modern jazz,4
finnish new wave,1
finnish pop,6
finnish post-punk,1
finnish power metal,12
finnish progressive metal,3
finnish progressive rock,1
finnish psychedelic rock,7
finnish punk,2
finnish reggae,1
finnish rockabilly,1
finnish soul,2
finnish techno,2
firenze indie,2
flamenco,18
flamenco fusion,1
flamenco guitar,10
flamenco urbano,1
flemish folk,2
flick hop,2
float house,50
florida death metal,11
florida hardcore,2
florida rap,2
flute rock,7
fluxwork,22
focus,4
focus beats,2
focus trance,1
folclor afrocolombiano,2
folclore portugues,1
folclore salteno,1
folclore tucumano,1
folk,83
folk black metal,16
folk brasileiro,2
folk metal,58
folk punk,29
folk rock,84
folk rock italiano,9
folk siciliana,2
folk-pop,36
folklore argentino,2
folklore boliviano,3
folklore cuyano,1
folklore peruano,1
folklore quebecois,1
folklore veracruzano,1
folkmusik,3
folktronica,23
footwork,10
forest psy,6
forro,6
forro tradicional,1
fort wayne indie,2
fort worth indie,2
fotbollslatar,1
fourth world,32
francoton,72
frankfurt electronic,27
frankfurt indie,8
frauenrap,9
freak folk,192
freakbeat,7
free folk,6
free improvisation,33
free jazz,44
freestyle,2
french black metal,20
french classical piano,12
french contemporary classical,1
french death metal,15
french dnb,6
french dub,10
french experimental rock,21
french folk,1
french folk pop,39
french garage rock,15
french hardcore,14
french hip hop,138
french indie folk,19
french indie pop,163
french indietronica,107
french jazz,33
french metal,32
french movie tunes,3
french oi,4
french orchestra,2
french pop,147
french post-punk,14
french post-rock,6
french psychedelic,25
french punk,25
french reggae,71
french rock,135
french romanticism,1
french shoegaze,13
french soundtrack,2
french stoner rock,7
french synthpop,19
french tech house,8
french techno,20
frenchcore,13
full on,11
funana,1
funeral doom,19
funk,93
funk carioca,12
funk das antigas,1
funk evangelico,1
funk metal,43
funk mexicano,1
funk ostentacao,4
funk pop,3
funk rock,25
funky breaks,8
funky house,14
funky tech house,16
future ambient,1
future bass,25
future funk,2
future garage,41
future house,11
future rock,8
futurepop,37
g funk,3
g-house,2
gabba,30
gaian doom,38
gainesville indie,4
galego,2
galician folk,3
galway indie,1
gambian pop,2
gaming dubstep,22
gaming edm,15
gangster rap,63
garage house,4
garage pop,38
garage psych,86
garage punk,14
garage punk blues,18
garage rock,60
garage rock mexicano,2
garage rock revival,26
gauze pop,13
gbvfi,26
geek folk,1
geek rock,2
georgian alternative,2
georgian electronic,1
georgian pop,1
german alternative rap,55
german alternative rock,22
german black metal,34
german blues,18
german boom bap,16
german ccm,7
german choir,1
german classical piano,12
german cloud rap,19
german contemporary classical,2
german country,8
german dance,15
german dark minimal techno,5
german death metal,16
german dnb,5
german drill,9
german electronica,14
german grindcore,8
german hard rock,26
german hardcore,15
german heavy metal,8
german hip hop,118
german house,32
german indie,140
german indie folk,20
german indie pop,13
german indie rock,24
german jazz,27
german jazz rap,22
german melodeath,8
german metal,75
german metalcore,28
german oi,25
german orchestra,3
german pagan metal,10
german pop,179
german pop rock,16
german post-hardcore,16
german post-punk,17
german post-rock,9
german power metal,29
german prog,8
german punk,63
german punk rock,41
german r&b,1
german reggae,41
german rock,198
german rockabilly,3
german shoegaze,7
german show tunes,1
german singer-songwriter,28
german ska,20
german soundtrack,3
german stoner rock,16
german street punk,2
german tech house,23
german techno,94
german thrash metal,21
german trance,20
german trap,26
german underground rap,31
german viral rap,1
german worship,8
ghanaian alternative,3
ghanaian hip hop,4
ghanaian pop,1
ghent indie,10
ghettotech,2
girl group,6
glam metal,73
glam punk,13
glam rock,30
glasgow indie,4
glitch,34
glitch beats,3
glitch hop,8
glitch pop,12
glitchcore,1
gnawa,4
golden age hip hop,12
goregrind,22
gospel,2
gospel rap,1
gospel reggae,1
gospel singers,4
gothabilly,6
gothenburg indie,11
gothenburg metal,23
gothic alternative,3
gothic americana,20
gothic black metal,5
gothic doom,1
gothic metal,64
gothic post-punk,5
gothic rock,28
gothic symphonic metal,47
gqom,3
granada indie,1
grand rapids indie,2
grave wave,45
graz indie,2
grebo,5
greek black metal,3
greek downtempo,2
greek guitar,1
greek hip hop,1
greek house,3
greek indie,7
greek indie rock,3
greek jazz,1
greek metal,16
greek pop,5
greek psychedelic rock,5
greek rock,5
greek swing,1
greek techno,3
greek trap,3
greenlandic pop,2
grim death metal,3
grime,18
grimewave,4
grindcore,40
griot,9
grisly death metal,6
groove metal,39
groove room,2
grunge,28
grunge pop,1
grunge revival,1
grungegaze,8
guadalajara indie,2
guatemalan pop,2
guinean pop,4
guitarra argentina,1
guitarra clasica,1
gulf hip hop,1
guqin,1
guyanese pop,1
gymcore,13
gypsy,2
gypsy fusion,11
gypsy jazz,11
gypsy punk,18
h8000,2
haitian dance,1
halftime dnb,8
halifax indie,7
hamburg electronic,32
hamburg hip hop,24
hamburg indie,22
hamburger schule,17
hamilton on indie,8
hammond organ,8
hands up,11
hangpan,3
happy hardcore,23
hard alternative,1
hard bass,1
hard bop,25
hard glam,11
hard house,1
hard minimal techno,2
hard rock,191
hard rock brasileiro,1
hard stoner rock,8
hard techno,3
hard trance,11
hardcore,39
hardcore hip hop,99
hardcore punk,43
hardcore techno,39
hardingfele,1
hardstyle,25
hardvapour,1
harlem hip hop,3
harmonica blues,16
harmonica jazz,1
harp,2
harpsichord,3
hauntology,13
hawaiian hip hop,1
hawaiian indie,1
hawaiian punk,1
healing,3
heartland rock,31
heavy gothic rock,2
heavy psych,10
hi-nrg,3
hi-tech,1
high-tech minimal,7
highlife,5
hindustani classical,3
hindustani instrumental,1
hinos ccb,1
hip hop,168
hip hop cubano,1
hip hop galsen,1
hip hop quebecois,7
hip hop tuga,2
hip house,31
hip pop,30
hip-hop experimental,15
hiplife,3
histoire pour enfants,2
historical keyboard,3
historically informed performance,12
hoerspiel,8
hollywood,4
hong kong indie,1
hopebeat,3
horror punk,17
horrorcore,2
house,106
house argentino,5
houston indie,1
houston rap,5
humppa,1
hungarian classical performance,3
hungarian classical piano,1
hungarian edm,4
hungarian indie,1
hungarian metal,6
hungarian punk,3
hungarian rock,6
hungarian techno,4
hurdy-gurdy,9
huzunlu sarkilar,3
hyperpop,8
hyphy,1
icelandic black metal,5
icelandic classical,4
icelandic electronic,16
icelandic experimental,4
icelandic folk,15
icelandic hip hop,1
icelandic indie,26
icelandic jazz,2
icelandic metal,6
icelandic pop,28
icelandic post-punk,5
icelandic punk,5
icelandic rock,16
icelandic singer-songwriter,10
idaho indie,3
idol,2
idol kayo,1
idol rock,3
illbient,4
impressionism,1
indian ambient,1
indian classical,4
indian edm,1
indian folk,1
indian fusion,4
indian instrumental rock,1
indian jazz,5
indian lo-fi,1
indian metal,2
indian percussion,1
indian rock,1
