,spotify_genre,top_genre
2508,griot,world music
2509,grisly death metal,rock music
2510,groove metal,rock music
2511,groove room,dance music
2512,groove room,electronic music
2513,grunge,rock music
2514,grunge pop,pop music
2515,grunge pop,rock music
2516,grunge revival,rock music
2517,grungegaze,rock music
2518,guadalajara indie,rock music
2519,guatemalan pop,pop music
2520,guinean pop,pop music
2521,guitarra argentina,folk music
2522,guitarra argentina,world music
2523,guitarra clasica,art music
2524,guitarra clasica,acoustic music
2525,gulf hip hop,world music
2526,gulf hip hop,hip hop music
2527,guqin,instrumental music
2528,guyanese pop,pop music
2529,gymcore,rock music
2530,gypsy,folk music
2531,gypsy fusion,jazz
2532,gypsy jazz,jazz
2533,gypsy punk,rock music
2534,h8000,rock music
2535,haitian dance,dance music
2536,halftime dnb,dance music
2537,halftime dnb,electronic music
2538,halifax indie,world music
2539,halifax indie,rock music
2540,hamburg electronic,electronic music
2541,hamburg hip hop,world music
2542,hamburg hip hop,hip hop music
2543,hamburg indie,rock music
2544,hamburger schule,rock music
2545,hamilton on indie,rock music
2546,hammond organ,jazz
2547,hammond organ,rhythm and blues
2548,hands up,dance music
2549,hands up,electronic music
2550,hangpan,dance music
2551,hangpan,electronic music
2552,hangpan,pop music
2553,happy hardcore,dance music
2554,happy hardcore,electronic music
2555,hard alternative,rock music
2556,hard bass,dance music
2557,hard bass,electronic music
2558,hard bop,jazz
2559,hard glam,rock music
2560,hard house,dance music
2561,hard house,electronic music
2562,hard minimal techno,experimental music
2563,hard minimal techno,dance music
2564,hard minimal techno,electronic music
2565,hard rock,rock music
2566,hard rock brasileiro,rock music
2567,hard stoner rock,rock music
2568,hard techno,dance music
2569,hard techno,electronic music
2570,hard trance,dance music
2571,hard trance,electronic music
2572,hardcore,dance music
2573,hardcore,electronic music
2574,hardcore hip hop,world music
2575,hardcore hip hop,hip hop music
2576,hardcore punk,rock music
2577,hardcore techno,dance music
2578,hardcore techno,electronic music
2579,hardingfele,folk music
2580,hardingfele,world music
2581,hardstyle,dance music
2582,hardstyle,electronic music
2583,hardvapour,electronic music
2584,harlem hip hop,world music
2585,harlem hip hop,hip hop music
2586,harmonica blues,blues
2587,harmonica jazz,jazz
2588,harp,folk music
2589,harpsichord,instrumental music
2590,hauntology,art music
2591,hawaiian hip hop,world music
2592,hawaiian hip hop,hip hop music
2593,hawaiian indie,world music
2594,hawaiian punk,world music
2595,hawaiian punk,rock music
2596,healing,functional music
2597,heartland rock,rock music
2598,heavy gothic rock,rock music
2599,heavy psych,rock music
2600,hi-nrg,dance music
2601,hi-nrg,electronic music
2602,hi-tech,dance music
2603,hi-tech,electronic music
2604,high-tech minimal,experimental music
2605,high-tech minimal,dance music
2606,high-tech minimal,electronic music
2607,highlife,world music
2608,hindustani classical,world music
2609,hindustani classical,art music
2610,hindustani instrumental,world music
2611,hindustani instrumental,art music
2612,hindustani instrumental,instrumental music
2613,hinos ccb,functional music
2614,hip hop,world music
2615,hip hop,hip hop music
2616,hip hop cubano,world music
2617,hip hop cubano,hip hop music
2618,hip hop galsen,hip hop music
2619,hip hop quebecois,world music
2620,hip hop quebecois,hip hop music
2621,hip hop tuga,world music
2622,hip hop tuga,hip hop music
2623,hip house,world music
2624,hip house,hip hop music
2625,hip house,electronic music
2626,hip house,dance music
2627,hip pop,pop music
2628,hip-hop experimental,experimental music
2629,hiplife,hip hop music
2630,histoire pour enfants,folk music
2631,histoire pour enfants,world music
2632,historical keyboard,art music
2633,historically informed performance,art music
2634,hoerspiel,pop music
2635,hollywood,pop music
2636,hong kong indie,independent music
2637,hopebeat,folk music
2638,hopebeat,pop music
2639,horror punk,rock music
2640,horrorcore,world music
